utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,previous_365_days_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-07 00:00:00+00:00,49617.0000000000,51533.5681499783,42023.0000000000,51790.0000000000,44304.0000000000,1916.5681499783,1916.5681499783,3.8627247717
2020-01-07 01:00:00+00:00,48105.0000000000,50589.0227173258,40856.0000000000,51217.0000000000,43691.0000000000,2484.0227173258,2484.0227173258,5.1637516211
2020-01-07 02:00:00+00:00,48553.0000000000,50762.1064687531,40388.0000000000,51792.0000000000,44287.0000000000,2209.1064687531,2209.1064687531,4.5498866574
2020-01-07 03:00:00+00:00,50054.0000000000,52577.6930614761,40835.0000000000,53483.0000000000,46200.0000000000,2523.6930614761,2523.6930614761,5.0419408269
2020-01-07 04:00:00+00:00,53241.0000000000,55182.5078627126,41447.0000000000,56535.0000000000,50649.0000000000,1941.5078627126,1941.5078627126,3.6466404889
2020-01-07 05:00:00+00:00,60420.0000000000,62390.7195659810,41596.0000000000,64186.0000000000,59542.0000000000,1970.7195659810,1970.7195659810,3.2617007050
2020-01-07 06:00:00+00:00,66527.0000000000,69548.7846402815,44124.0000000000,70387.0000000000,66261.0000000000,3021.7846402815,3021.7846402815,4.5421928545
2020-01-07 07:00:00+00:00,69198.0000000000,71980.2270594198,46802.0000000000,72913.0000000000,68960.0000000000,2782.2270594198,2782.2270594198,4.0206755389
2020-01-07 08:00:00+00:00,69408.0000000000,72209.1368823019,49456.0000000000,73232.0000000000,69247.0000000000,2801.1368823019,2801.1368823019,4.0357550748
2020-01-07 09:00:00+00:00,69896.0000000000,72689.9134980093,50937.0000000000,73615.0000000000,70469.0000000000,2793.9134980093,2793.9134980093,3.9972437593
2020-01-07 10:00:00+00:00,70089.0000000000,73292.1628086877,52026.0000000000,73965.0000000000,71360.0000000000,3203.1628086877,3203.1628086877,4.5701362677
2020-01-07 11:00:00+00:00,69367.0000000000,72991.1623736225,52394.0000000000,74062.0000000000,70861.0000000000,3624.1623736225,3624.1623736225,5.2246203146
2020-01-07 12:00:00+00:00,69465.0000000000,72580.3022326900,50637.0000000000,73620.0000000000,70827.0000000000,3115.3022326900,3115.3022326900,4.4847077416
2020-01-07 13:00:00+00:00,68854.0000000000,72106.4001612011,49459.0000000000,72595.0000000000,70353.0000000000,3252.4001612011,3252.4001612011,4.7236183246
2020-01-07 14:00:00+00:00,68089.0000000000,71912.8507903084,49378.0000000000,72428.0000000000,69778.0000000000,3823.8507903084,3823.8507903084,5.6159596856
2020-01-07 15:00:00+00:00,68574.0000000000,72017.6930990189,51219.0000000000,73340.0000000000,70582.0000000000,3443.6930990189,3443.6930990189,5.0218641162
2020-01-07 16:00:00+00:00,70914.0000000000,74245.5067320915,53428.0000000000,75056.0000000000,72983.0000000000,3331.5067320915,3331.5067320915,4.6979534818
2020-01-07 17:00:00+00:00,70678.0000000000,74133.8520507091,52637.0000000000,74557.0000000000,72271.0000000000,3455.8520507091,3455.8520507091,4.8895724988
2020-01-07 18:00:00+00:00,68990.0000000000,72362.5241355091,50151.0000000000,72894.0000000000,69826.0000000000,3372.5241355091,3372.5241355091,4.8884246058
2020-01-07 19:00:00+00:00,65235.0000000000,68111.2860157248,47493.0000000000,69352.0000000000,66773.0000000000,2876.2860157248,2876.2860157248,4.4091147631
2020-01-07 20:00:00+00:00,61997.0000000000,64469.8202746689,45842.0000000000,65661.0000000000,63890.0000000000,2472.8202746689,2472.8202746689,3.9886127952
2020-01-07 21:00:00+00:00,59030.0000000000,61844.7724415531,45501.0000000000,62273.0000000000,61124.0000000000,2814.7724415531,2814.7724415531,4.7683761504
2020-01-07 22:00:00+00:00,55343.0000000000,57535.7457474911,43969.0000000000,58913.0000000000,57444.0000000000,2192.7457474911,2192.7457474911,3.9621013452
2020-01-07 23:00:00+00:00,52694.0000000000,54603.3347289182,42335.0000000000,54556.0000000000,53755.0000000000,1909.3347289182,1909.3347289182,3.6234385868
